,Name,Price,Model Name,Color,SIM Type,Touchscreen,Display Size,Resolution,Operating System,Processor Core,Primary Clock Speed,Internal Storage,RAM,Primary Camera Available,Primary Camera,Secondary Camera Available,Secondary Camera,Full HD Recording,Network Type,Bluetooth Support,Wi-Fi,Audio Jack,GPS Support,Battery Capacity,Weight,Domestic Warranty,Product Rating,Camera Rating,Battery Rating,Display Rating,Design Rating
163,,0,M4 Pro,Power Black,Dual Sim,Yes,16.33 cm (6.43 inch),2400 x 1080 Pixels,Android 11,Octa Core,2.05 GHz,128 GB,6 GB,Yes,64MP + 8MP + 2MP,Yes,16MP Front Camera,Yes,"4G, 3G, 2G",Yes,Yes,3.5mm,Yes,5000 mAh,179.5 g,1 Year,0.0,0.0,0.0,0.0,0.0
164,LAVA Gem  (Blue Gold DS),"₹1,749",Gem,Blue Gold DS,Dual Sim,No,7.11 cm (2.8 inch),320 x 240$$pixel,Android 11,Octa Core,1.2 MHz,32 MB,32 MB,Yes,1.3MP Rear Camera,Yes,16MP Front Camera,Yes,2G,Yes,Yes,3.5mm,Yes,1750 mAh,110 g,1 Year,4.2,3.0,4.0,3.9,4.0
165,Nokia 150 DS 2020  (Red),"₹2,499",150 DS 2020,Red,Dual Sim,No,6.1 cm (2.4 inch),320 x 240 Pixels,Series 30+,Octa Core,1.2 MHz,4 MB,4 MB,Yes,0.3MP Rear Camera,Yes,16MP Front Camera,No,2G,Yes,No,3.5mm,No,1020 mAh,90.5 g,1 Year,4.1,3.1,3.6,3.7,3.7
166,Micromax X413  (Black),₹989,X413,Black,Dual Sim,No,4.5 cm (1.77 inch),240 x 320$$pixel,Series 30+,Single Core,1 MHz,32 MB,32 MB,Yes,0.3MP Rear Camera,Yes,16MP Front Camera,No,2G,Yes,No,3.5mm,No,800 mAh,90.5 g,1 Year,4,2.9,3.6,3.5,3.7
167,Micromax X412  (Blue),₹965,X412,Blue,Dual Sim,No,4.5 cm (1.77 inch),240x320,Series 30+,Single Core,1 MHz,32 MB,32 MB,Yes,0.3MP Rear Camera,Yes,16MP Front Camera,No,2G,Yes,No,3.5mm,No,800 mAh,90.5 g,1 Year,3.9,2.5,3.5,3.3,3.6
168,"vivo V27 5G (Noble Black, 128 GB)  (8 GB RAM)","₹32,999",V27 5G,Noble Black,Dual Sim,Yes,17.22 cm (6.78 Inch),2400 × 1080 Pixels,Android 13,Octa Core,2.8 GHz,128 GB,8 GB,Yes,50MP (OIS) + 8MP + 2MP,Yes,50MP Front Camera,No,"5G, 4G, 3G, 2G",Yes,Yes,3.5mm,Yes,4600 mAh,180 g,1 Year,4.4,4.5,4.1,4.7,4.7
169,LAVA GEM  (Gold Black DS),"₹1,610",GEM,Gold Black DS,Dual Sim,No,7.11 cm (2.8 inch),320x240 Pixels,Android 13,Octa Core,1.2 MHz,0 MB,8 GB,Yes,1.3MP Rear Camera,No,50MP Front Camera,Yes,2G,Yes,No,3.5 mm,No,1750 mAh,180 g,1 Year,4.2,2.9,4.1,3.9,4.0
170,Nokia 125 TA-1253 DS  (White),"₹2,099",125 TA-1253 DS,White,Dual Sim,No,6.1 cm (2.4 inch),320 x 240 Pixels,Series 30+,Octa Core,1.2 MHz,4 MB,4 MB,No,1.3MP Rear Camera,No,50MP Front Camera,No,2G,No,No,3.5mm,No,1020 mAh,91.3 g,1 Year,4,2.7,3.6,3.6,3.6
171,"POCO M5 (Yellow, 128 GB)  (6 GB RAM)","₹11,999",M5,Yellow,Dual Sim,Yes,16.71 cm (6.58 inch),2400 x 1080 Pixels,Android 12,Octa Core,2.2 GHz,128 GB,6 GB,Yes,50MP + 2MP Depth Sensor + 2MP Macro Sensor,Yes,8MP Front Camera,Yes,"4G, 3G, 2G",Yes,Yes,3.5mm,Yes,5000 mAh,201 g,1 Year,4.2,3.6,4.1,4.0,4.1
172,"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)  (6 GB RAM)","₹19,131",Nord CE 2 Lite 5G,Black Dusk,Dual Sim,Yes,16.74 cm (6.59 inch),2412 x 1080 Pixels,Android 13,Octa Core,2.2 GHz,128 GB,6 GB,Yes,64MP Rear Camera,Yes,8MP Front Camera,Yes,5G,Yes,Yes,3.5mm,Yes,5000 mAh,201 g,1 Year,4.4,4.1,4.2,4.2,4.1
173,LAVA Hero 600i  (Blue),₹899,Hero 600i,Blue,Dual Sim,No,4.57 cm (1.8 inch),128*160,0,Octa Core,2.2 GHz,3 MB,4 MB,No,64MP Rear Camera,No,8MP Front Camera,No,2G,Yes,No,3.5mm,No,620 mAh,201 g,12 Months,4.1,3.1,3.8,4.0,4.0
